iter	Passed	Remaining
1424	5757	2323
1425	5764	2320
1426	5774	2318
1427	5781	2315
1428	5790	2313
1429	5798	2311
1430	5801	2306
1431	5806	2303
1432	5815	2300
1433	5819	2296
1434	5823	2292
1435	5827	2288
1436	5832	2285
1437	5837	2281
1438	5840	2277
1439	5844	2272
1440	5848	2268
1441	5853	2265
1442	5857	2260
1443	5861	2257
1444	5866	2253
1445	5869	2248
1446	5875	2245
1447	5879	2241
1448	5883	2237
1449	5887	2233
1450	5892	2229
1451	5896	2225
1452	5901	2221
1453	5904	2217
1454	5908	2213
1455	5912	2208
1456	5916	2204
1457	5920	2200
1458	5924	2196
1459	5928	2192
1460	5932	2188
1461	5936	2184
1462	5940	2180
1463	5945	2176
1464	5948	2172
1465	5952	2168
1466	5957	2164
1467	5960	2160
1468	5964	2156
1469	5969	2152
1470	5973	2148
1471	5977	2143
1472	5980	2139
1473	5985	2135
1474	5988	2131
1475	5992	2127
1476	5997	2123
1477	6001	2119
1478	6005	2115
1479	6012	2112
1480	6016	2108
1481	6019	2104
1482	6025	2100
1483	6029	2096
1484	6034	2092
1485	6040	2089
1486	6044	2085
1487	6048	2081
1488	6053	2077
1489	6057	2073
1490	6060	2069
1491	6065	2065
1492	6069	2060
1493	6072	2056
1494	6076	2052
1495	6080	2048
1496	6085	2044
1497	6090	2040
1498	6095	2037
1499	6098	2032
1500	6102	2028
1501	6107	2025
1502	6111	2021
1503	6115	2016
1504	6119	2012
1505	6123	2008
1506	6126	2004
1507	6131	2000
1508	6134	1995
1509	6138	1991
1510	6141	1987
1511	6145	1983
1512	6149	1979
1513	6154	1975
1514	6157	1971
1515	6162	1967
1516	6165	1963
1517	6168	1958
1518	6172	1954
1519	6175	1950
1520	6180	1946
1521	6183	1942
1522	6187	1938
1523	6191	1933
1524	6195	1929
1525	6199	1925
1526	6203	1921
1527	6206	1917
1528	6211	1913
1529	6215	1909
1530	6219	1905
1531	6222	1900
1532	6226	1896
1533	6230	1892
1534	6234	1888
1535	6238	1884
1536	6242	1880
1537	6246	1876
1538	6250	1872
1539	6254	1868
1540	6257	1863
1541	6261	1859
1542	6265	1855
1543	6270	1851
1544	6273	1847
1545	6277	1843
1546	6283	1839
1547	6286	1835
1548	6290	1831
1549	6294	1827
1550	6298	1823
1551	6302	1819
1552	6305	1814
1553	6309	1810
1554	6312	1806
1555	6316	1802
1556	6321	1798
1557	6325	1794
1558	6329	1790
1559	6333	1786
1560	6337	1782
1561	6341	1778
1562	6346	1774
1563	6350	1770
1564	6353	1766
1565	6357	1761
1566	6362	1757
1567	6365	1753
1568	6369	1749
1569	6373	1745
1570	6378	1741
1571	6382	1737
1572	6386	1733
1573	6390	1729
1574	6393	1725
1575	6396	1720
1576	6400	1716
1577	6404	1712
1578	6408	1708
1579	6411	1704
1580	6415	1700
1581	6420	1696
1582	6423	1692
1583	6427	1687
1584	6432	1684
1585	6436	1680
1586	6440	1675
1587	6442	1671
1588	6445	1667
1589	6449	1662
1590	6452	1658
1591	6457	1654
1592	6461	1650
1593	6465	1646
1594	6469	1642
1595	6472	1638
1596	6475	1634
1597	6479	1629
1598	6484	1626
1599	6487	1621
1600	6490	1617
1601	6494	1613
1602	6498	1609
1603	6502	1605
1604	6505	1601
1605	6509	1596
1606	6513	1592
1607	6517	1588
1608	6520	1584
1609	6524	1580
1610	6528	1576
1611	6532	1572
1612	6536	1568
1613	6540	1564
1614	6544	1560
1615	6548	1556
1616	6552	1552
1617	6557	1548
1618	6562	1544
1619	6566	1540
1620	6569	1536
1621	6574	1532
1622	6578	1528
1623	6582	1524
1624	6587	1520
1625	6590	1515
1626	6594	1511
1627	6598	1507
1628	6602	1503
1629	6606	1499
1630	6610	1495
1631	6615	1491
1632	6619	1487
1633	6623	1483
1634	6627	1479
1635	6630	1475
1636	6634	1471
1637	6637	1466
1638	6642	1463
1639	6645	1458
1640	6649	1454
1641	6654	1450
1642	6657	1446
1643	6662	1442
1644	6666	1438
1645	6671	1434
1646	6674	1430
1647	6678	1426
1648	6683	1422
1649	6687	1418
1650	6692	1414
1651	6698	1411
1652	6703	1407
1653	6709	1403
1654	6712	1399
1655	6719	1395
1656	6724	1392
1657	6729	1388
1658	6734	1384
1659	6738	1380
1660	6742	1376
1661	6748	1372
1662	6751	1368
1663	6755	1364
1664	6760	1360
1665	6763	1355
1666	6767	1351
1667	6770	1347
1668	6775	1343
1669	6779	1339
1670	6782	1335
1671	6787	1331
1672	6791	1327
1673	6795	1323
1674	6799	1319
1675	6804	1315
1676	6808	1311
1677	6812	1307
1678	6817	1303
1679	6820	1299
1680	6824	1295
1681	6829	1291
1682	6832	1287
1683	6836	1282
1684	6839	1278
1685	6843	1274
1686	6847	1270
1687	6851	1266
1688	6856	1262
